id,pub,doi,exp_location,lat,long,unique_exp,exp,trial,type,feedback_manip,type_manip,conditioning_phase_source,inoculum_source,feedback_duration,focal_family,focal_sp,focal_func,focal_anatomical_group,focal_life_cycle,growth_response,N,nCnF,nCnF_sd,yCnF,yCnF_sd,nCyF,nCyF_sd,yCyF,yCyF_sd,vi_nCnF,vi_yCnF,vi_nCyF,vi_yCyF,RII_CSD,RII_CSD_Vi,RII_PSF,RII_PSF_Vi,RII_Int,RII_Int_Vi,
594,"Zuppinger-Dingley, D., et al. (2011). In their native range, invasive plants are held in check by negative soil-feedbacks. Ecosphere, 2, 1–12.",10.1890/ES11-00061.1,gh,,,198,8,1,competition,live_sterile,con_hetero,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,14,Lamiaceae,Prunella vulgaris,forb,dicot,perennial,shoot biomass,3,0.592220,0.374460,0.207370,0.108770,0.776670,0.402270,0.336000,0.178544,0.133267,0.091708,0.089421,0.094122,-0.481309,0.224975,0.134744,0.222689,0.101982,0.408518,
595,"Zuppinger-Dingley, D., et al. (2011). In their native range, invasive plants are held in check by negative soil-feedbacks. Ecosphere, 2, 1–12.",10.1890/ES11-00061.1,gh,,,199,9,1,competition,live_sterile,con_hetero,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,14,Caryophyllaceae,Silene pratensis,forb,dicot,biennial/perennial,shoot biomass,3,2.077780,0.993790,4.617000,3.114070,1.881110,0.810990,4.375000,2.059521,0.076255,0.151641,0.061956,0.073868,0.379284,0.227896,-0.049678,0.138211,0.022765,0.363719,
596,"Zuppinger-Dingley, D., et al. (2011). In their native range, invasive plants are held in check by negative soil-feedbacks. Ecosphere, 2, 1–12.",10.1890/ES11-00061.1,gh,,,200,10,1,competition,live_sterile,con_hetero,field soil directly added to pots (feedback phase immediately imposed),conditioned_in_field,14,Caryophyllaceae,Silene vulgaris,forb,dicot,perennial,shoot biomass,3,1.852220,0.860450,1.461500,0.906300,2.756670,2.663460,1.693000,0.819731,0.071936,0.128181,0.311173,0.078146,-0.117910,0.200117,0.196240,0.383109,-0.122853,0.589436,
467,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,1,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.969170,0.326580,0.513330,0.136070,0.269170,0.287300,0.443330,0.220374,0.037849,0.023421,0.379749,0.082365,-0.307481,0.061271,-0.565273,0.417598,0.492102,0.523385,
468,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,2,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.969170,0.326580,1.745830,2.592780,0.269170,0.287300,0.285000,0.208582,0.037849,0.735201,0.379749,0.178543,0.286063,0.773050,-0.565273,0.417598,-0.154054,1.331342,
469,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,3,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.969170,0.326580,0.470000,0.535190,0.269170,0.287300,0.981670,0.289960,0.037849,0.432214,0.379749,0.029082,-0.346846,0.470063,-0.565273,0.417598,0.917743,0.878895,
470,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,4,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.969170,0.326580,0.778330,0.707680,0.269170,0.287300,0.360830,0.165385,0.037849,0.275566,0.379749,0.070027,-0.109207,0.313415,-0.565273,0.417598,0.198775,0.763191,
471,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,5,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.969170,0.326580,0.259170,0.205770,0.269170,0.287300,0.429170,0.341873,0.037849,0.210123,0.379749,0.211519,-0.578016,0.247972,-0.565273,0.417598,0.812244,0.839240,
472,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,6,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.969170,0.326580,0.293330,0.110180,0.269170,0.287300,0.628330,0.455531,0.037849,0.047030,0.379749,0.175202,-0.535319,0.084879,-0.565273,0.417598,0.928747,0.639830,
473,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,7,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.969170,0.326580,0.146940,0.063920,0.269170,0.287300,0.120830,0.149192,0.037849,0.063077,0.379749,0.508183,-0.736693,0.100926,-0.565273,0.417598,0.467764,0.988859,
474,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,8,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.969170,0.326580,0.020280,0.025820,0.269170,0.287300,0.077500,0.066285,0.037849,0.540325,0.379749,0.243841,-0.959008,0.578175,-0.565273,0.417598,1.150464,1.201764,
475,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,9,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.631250,0.675000,0.968330,1.196650,0.261040,0.300620,1.062500,1.250397,0.381139,0.509057,0.442079,0.461654,0.210730,0.890196,-0.414899,0.823219,0.461269,1.793930,
476,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,10,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.631250,0.675000,1.485830,0.102050,0.261040,0.300620,0.988330,1.174631,0.381139,0.001572,0.442079,0.470845,0.403660,0.382712,-0.414899,0.823219,0.213820,1.295636,
477,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,11,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.631250,0.675000,0.382500,0.482310,0.261040,0.300620,0.754170,0.348087,0.381139,0.529991,0.442079,0.071009,-0.245376,0.911130,-0.414899,0.823219,0.741880,1.424219,
478,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,12,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.631250,0.675000,0.277500,0.400770,0.261040,0.300620,0.077500,0.076463,0.381139,0.695253,0.442079,0.324473,-0.389271,1.076393,-0.414899,0.823219,-0.148482,1.842945,
479,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,13,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.631250,0.675000,0.290830,0.245110,0.261040,0.300620,0.055000,0.048283,0.381139,0.236768,0.442079,0.256887,-0.369187,0.617907,-0.414899,0.823219,-0.267026,1.316873,
480,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,183,1,14,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Asteraceae,Crepis biennis,forb,dicot,perennial,shoot biomass,3,0.631250,0.675000,0.022780,0.028100,0.261040,0.300620,0.099170,0.058861,0.381139,0.507205,0.442079,0.117428,-0.930340,0.888345,-0.414899,0.823219,1.041303,1.447853,
481,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,1,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,2.247080,0.525930,3.492500,0.674600,1.715420,1.283380,2.729170,0.419183,0.018260,0.012437,0.186573,0.007864,0.216988,0.030696,-0.134173,0.204833,0.011484,0.225133,
482,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,2,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,2.247080,0.525930,3.898330,0.284490,1.715420,1.283380,5.012500,1.497525,0.018260,0.001775,0.186573,0.029752,0.268696,0.020035,-0.134173,0.204833,0.259208,0.236360,
483,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,3,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,2.247080,0.525930,5.143330,2.004640,1.715420,1.283380,4.674170,1.280430,0.018260,0.050636,0.186573,0.025014,0.391893,0.068896,-0.134173,0.204833,0.086385,0.280483,
484,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,4,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,2.247080,0.525930,4.116670,2.425170,1.715420,1.283380,4.496670,0.498688,0.018260,0.115683,0.186573,0.004100,0.293787,0.133943,-0.134173,0.204833,0.178290,0.324616,
485,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,5,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,2.247080,0.525930,3.770000,1.371970,1.715420,1.283380,2.768330,1.845190,0.018260,0.044145,0.186573,0.148090,0.253100,0.062405,-0.134173,0.204833,-0.019027,0.397068,
486,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,6,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,2.247080,0.525930,2.735830,0.286930,1.715420,1.283380,3.697500,0.707390,0.018260,0.003667,0.186573,0.012201,0.098085,0.021926,-0.134173,0.204833,0.283655,0.220700,
487,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,7,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,2.247080,0.525930,3.642500,1.591950,1.715420,1.283380,3.622500,1.035009,0.018260,0.063671,0.186573,0.027211,0.236930,0.081930,-0.134173,0.204833,0.131420,0.295715,
488,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,8,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,2.247080,0.525930,3.070830,0.497560,1.715420,1.283380,3.185000,0.487256,0.018260,0.008751,0.186573,0.007801,0.154901,0.027011,-0.134173,0.204833,0.152423,0.221385,
489,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,9,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,1.837290,0.342050,3.240830,0.681320,2.755210,1.144330,3.252500,0.743904,0.011553,0.014732,0.057501,0.017437,0.276390,0.026285,0.199874,0.069054,-0.198076,0.101223,
490,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,10,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,1.837290,0.342050,4.090830,0.327680,2.755210,1.144330,3.076670,0.341251,0.011553,0.002139,0.057501,0.004101,0.380144,0.013692,0.199874,0.069054,-0.341368,0.075293,
491,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,11,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,1.837290,0.342050,3.005830,0.979800,2.755210,1.144330,4.563330,2.653152,0.011553,0.035418,0.057501,0.112678,0.241278,0.046971,0.199874,0.069054,0.005895,0.217150,
492,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,12,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,1.837290,0.342050,3.903330,0.922880,2.755210,1.144330,3.407500,1.051163,0.011553,0.018634,0.057501,0.031721,0.359898,0.030187,0.199874,0.069054,-0.267695,0.119408,
493,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,13,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,1.837290,0.342050,2.490830,1.850640,2.755210,1.144330,2.070830,1.058741,0.011553,0.184007,0.057501,0.087130,0.150999,0.195560,0.199874,0.069054,-0.291945,0.340191,
494,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,14,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,1.837290,0.342050,3.037500,1.135320,2.755210,1.144330,3.084170,0.178472,0.011553,0.046567,0.057501,0.001116,0.246208,0.058121,0.199874,0.069054,-0.192250,0.116737,
495,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,15,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,1.837290,0.342050,1.530000,1.030040,2.755210,1.144330,3.336670,2.012569,0.011553,0.151079,0.057501,0.121270,-0.091257,0.162632,0.199874,0.069054,0.171360,0.341403,
496,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,184,2,16,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Poaceae,Festuca pratensis,grass,monocot,perennial,shoot biomass,3,1.837290,0.342050,3.589170,1.439120,2.755210,1.144330,2.329170,0.906661,0.011553,0.053590,0.057501,0.050509,0.322840,0.065143,0.199874,0.069054,-0.412771,0.173153,
497,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,1,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.180420,0.073610,0.269170,0.182150,0.170210,0.121940,0.259170,0.149297,0.055486,0.152645,0.171081,0.110614,0.197402,0.208131,-0.029119,0.226567,0.010192,0.489826,
498,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,2,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.180420,0.073610,0.329170,0.174040,0.170210,0.121940,0.401670,0.240069,0.055486,0.093183,0.171081,0.119073,0.291901,0.148669,-0.029119,0.226567,0.128320,0.438822,
499,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,3,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.180420,0.073610,0.308610,0.159930,0.170210,0.121940,0.323330,0.209797,0.055486,0.089520,0.171081,0.140341,0.262131,0.145006,-0.029119,0.226567,0.052412,0.456428,
500,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,4,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.180420,0.073610,0.095830,0.020360,0.170210,0.121940,0.194720,0.168697,0.055486,0.015046,0.171081,0.250191,-0.306208,0.070532,-0.029119,0.226567,0.369474,0.491804,
501,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,5,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.180420,0.073610,0.100830,0.029300,0.170210,0.121940,0.146670,0.085306,0.055486,0.028147,0.171081,0.112760,-0.282987,0.083633,-0.029119,0.226567,0.214331,0.367474,
502,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,6,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.180420,0.073610,0.072500,0.046700,0.170210,0.121940,0.249170,0.183002,0.055486,0.138305,0.171081,0.179804,-0.426696,0.193791,-0.029119,0.226567,0.578346,0.544675,
503,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,7,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.180420,0.073610,0.067500,0.040930,0.170210,0.121940,0.409170,0.431634,0.055486,0.122562,0.171081,0.370939,-0.455470,0.178048,-0.029119,0.226567,0.745904,0.720067,
504,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,8,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.180420,0.073610,0.155830,0.055130,0.170210,0.121940,0.105560,0.077680,0.055486,0.041721,0.171081,0.180509,-0.073130,0.097207,-0.029119,0.226567,-0.163199,0.448796,
505,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,9,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.421040,0.552540,0.318330,0.133750,0.273750,0.208170,0.306670,0.172506,0.574063,0.058845,0.192755,0.105474,-0.138916,0.632908,-0.211992,0.766818,0.193336,0.931137,
506,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,10,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.421040,0.552540,0.431110,0.202880,0.273750,0.208170,0.415000,0.154131,0.574063,0.073821,0.192755,0.045979,0.011817,0.647884,-0.211992,0.766818,0.192952,0.886619,
507,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,11,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.421040,0.552540,0.655830,0.552010,0.273750,0.208170,0.445830,0.245412,0.574063,0.236151,0.192755,0.101002,0.218030,0.810214,-0.211992,0.766818,0.021371,1.103972,
508,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,12,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.421040,0.552540,0.280000,0.179290,0.273750,0.208170,0.484440,0.326013,0.574063,0.136671,0.192755,0.150962,-0.201187,0.710733,-0.211992,0.766818,0.479430,1.054451,
509,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,13,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.421040,0.552540,0.175000,0.184540,0.273750,0.208170,0.274170,0.351482,0.574063,0.370667,0.192755,0.547829,-0.412791,0.944730,-0.211992,0.766818,0.432777,1.685314,
510,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,14,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.421040,0.552540,0.158750,0.093690,0.273750,0.208170,0.527500,0.346482,0.574063,0.116101,0.192755,0.143812,-0.452388,0.690164,-0.211992,0.766818,0.749333,1.026732,
511,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,15,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.421040,0.552540,0.080830,0.046190,0.273750,0.208170,0.060830,0.064437,0.574063,0.108850,0.192755,0.374036,-0.677885,0.682913,-0.211992,0.766818,0.070809,1.249705,
512,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,185,3,16,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Rubiaceae,Galium mollugo,forb,dicot,annual,shoot biomass,3,0.421040,0.552540,0.037500,0.028280,0.273750,0.208170,0.448750,0.482600,0.574063,0.189572,0.192755,0.385518,-0.836437,0.763635,-0.211992,0.766818,1.057750,1.341909,
513,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,186,4,1,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Fabaceae,Onobrychis viciifolia,forb,dicot,perennial,shoot biomass,3,1.165630,0.415190,0.566670,0.299000,0.253540,0.010030,2.019170,1.048065,0.042291,0.092803,0.000522,0.089807,-0.345760,0.135094,-0.642693,0.042813,1.204406,0.225423,
514,"Zuppinger-Dingley, D., et al. (2016). Plant selection and soil legacy enhance long-term biodiversity effects. Ecology, 97, 918–928.",10.1890/15-0599,gh,50.91666667,11.58333333,186,4,2,competition,live_sterile,con_hetero,soil from field exp; used as inoculum in feedback exp,conditioned_in_field,18,Fabaceae,Onobrychis viciifolia,forb,dicot,perennial,shoot biomass,3,1.165630,0.415190,0.451670,0.082020,0.253540,0.010030,1.411670,0.841789,0.042291,0.010992,0.000522,0.118527,-0.441452,0.053283,-0.642693,0.042813,1.157896,0.172332,
